Отметка времени,What's your GPA?,How much time a week do you spend studying?,Roughly how many hours a day do you usually sleep during the semester? ,What seat row do you usually choose in a lecture hall?,How many hours a week do you work out? 
14.07.2026 0:28:25,3.95,10,6,7,3
14.07.2026 1:19:56,4.34,7,8,1,5
14.07.2026 1:22:33,4,20,7,2,0
14.07.2026 1:23:03,4.35,8,5,4,3
14.07.2026 1:23:59,2.67,7,8,3,10
14.07.2026 1:24:55,3.5,16,4,1,0
14.07.2026 1:25:52,3.4,1,6,2,0
14.07.2026 1:26:04,4.06,0,9,3,2
14.07.2026 1:31:24,3.6,22,6,3,6
14.07.2026 1:33:10,4.0,10,7,4,2
14.07.2026 1:33:31,3,15,6,2,0
14.07.2026 1:33:46,3.76,22,6,1,3
14.07.2026 1:34:17,2.26,5,8,6,0
14.07.2026 1:38:34,3.9,1,7,6,5
14.07.2026 1:40:05,4.47,3,6,3,3
14.07.2026 1:48:40,2,5,5,3,2
14.07.2026 1:50:32,4.14,30,6,2,0
14.07.2026 1:55:08,3.9 ,3,7,2,6
14.07.2026 1:56:42,3,4,7,6,4
14.07.2026 1:59:01,3.50,5,7,4,1
14.07.2026 2:01:20,4,2,8,7,6
14.07.2026 2:07:22,3.5,15,6,4,8
14.07.2026 2:07:29,4.21,14,6,3,7
14.07.2026 2:12:18,1.5,3,6,4,5
14.07.2026 2:23:52,3.67,0,9,4,10
14.07.2026 3:10:06,2.58,23,8,1,2
14.07.2026 4:39:43,3.60,9,7,1,0
14.07.2026 4:40:19,3.95,14,7,5,0
14.07.2026 7:19:05,3.96,2,8,5,1
14.07.2026 7:42:42,4.43,30,8,2,5
14.07.2026 8:11:26,4,4,7,3,4
14.07.2026 8:21:01,0.1,0.2,0,1,0
14.07.2026 8:23:03,4.23,20,5,1,2
14.07.2026 8:29:01,4.18,5,7,2,1
14.07.2026 9:30:21,4.26,14,7,1,5
14.07.2026 9:33:14,4.29,12,5,2,5
14.07.2026 9:47:29,2.3,4,7,6,0
14.07.2026 10:41:48,2.50,4,7,7,6
14.07.2026 10:58:05,4.24,12,8,3,3
14.07.2026 11:19:27,2.94,30,6,1,6
14.07.2026 12:10:05,2.75,5,6,5,6
14.07.2026 12:11:55,4.5,26,6,3,2
14.07.2026 12:15:31,3.82,17,6,3,6
14.07.2026 12:26:39,3.7,5,7,3,0
14.07.2026 12:28:55,4.25,30,5,2,1
14.07.2026 12:30:45,3.73,17,6,3,0
14.07.2026 12:31:06,3.73,17,6,3,0
14.07.2026 12:42:01,3.68,6,9,7,6
14.07.2026 12:50:35,4.32,20,9,2,3
14.07.2026 12:53:23,3.29,2,6,1,0
14.07.2026 12:53:25,4.25,4,7,2,0
14.07.2026 13:11:48,3.53,1,8,5,0
14.07.2026 13:49:07,4.45,30,8,2,9
14.07.2026 14:01:01,4.00,30,5,1,0
14.07.2026 14:01:26,4.5,18,7,3,6
14.07.2026 14:18:19,3.71,7,7,6,2
14.07.2026 15:32:53,3.81,30,3,1,3
14.07.2026 19:03:03,2.7,0,6,7,5